step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFlaggedFraud,orig_balance_error,dest_balance_error,orig_error_flag,dest_error_flag,is_transfer,is_cash_out,log_amount
341,414394.38,414394.38,0.0,900092.02,1314486.4,0,0.0,0.0,0,0,0,1,12.934575821216615
234,236003.93,245051.67,9047.74,370372.98,606376.91,0,2.000888343900442e-11,-1.1641532182693481e-10,0,0,0,1,12.371607973620065
226,82874.51,0.0,0.0,636324.21,719198.71,0,-82874.51,0.010000000009313226,1,0,0,1,11.325094881315383
709,242296.17,242296.17,0.0,0.0,0.0,0,0.0,242296.17,0,1,1,0,12.397920227000544
283,843174.04,843174.04,0.0,0.0,0.0,0,0.0,843174.04,0,1,1,0,13.644929854813075
641,115599.26,115599.26,0.0,0.0,0.0,0,0.0,115599.26,0,1,1,0,11.657893484352833
189,51460.6,0.0,0.0,1251328.77,1302789.37,0,-51460.6,0.0,1,0,0,1,10.848591177462762
132,1424364.49,220.0,0.0,3638405.04,5812865.98,0,-1424144.49,-750096.4500000002,1,1,1,0,14.169237002347248
154,216236.25,23373.0,0.0,525016.99,741253.24,0,-192863.25,0.0,1,0,0,1,12.284131463518372
356,73763.64,0.0,0.0,155393.69,229157.33,0,-73763.64,2.9103830456733704e-11,1,0,0,1,11.208634762976443
236,721809.84,106817.0,0.0,863408.83,1585218.67,0,-614992.84,0.0,1,0,1,0,13.489518389088586
41,148934.55,171343.0,22408.45,0.0,529938.8,0,1.0913936421275139e-11,-381004.25000000006,0,1,0,1,11.911268941015145
305,19156.18,0.0,0.0,302996.29,322152.48,0,-19156.18,-0.010000000009313226,1,0,0,1,9.860432859064181
371,173010.68,0.0,0.0,3669517.02,3842527.7,0,-173010.68,0.0,1,0,0,1,12.061114385651784
732,417129.11,417129.11,0.0,0.0,0.0,0,0.0,417129.11,0,1,1,0,12.941153466503062
157,275808.73,0.0,0.0,838692.17,1114500.91,0,-275808.73,-0.010000000009313226,1,0,0,1,12.52746652290686
403,328758.51,354918.44,26159.93,382269.59,711028.1,0,-7.275957614183426e-12,1.1641532182693481e-10,0,0,1,0,12.703081789812366
44,245717.8,0.0,0.0,1256165.61,1501883.41,0,-245717.8,2.3283064365386963e-10,1,0,0,1,12.41194307165858
156,192587.72,1096.0,0.0,71246.84,263834.57,0,-191491.72,-0.010000000009313226,1,0,0,1,12.168312209652857
9,334499.03,0.0,0.0,5335803.5,6829021.69,0,-334499.03,-1158719.1600000001,1,1,0,1,12.720392248236514
43,81866.88,968205.0,886338.12,0.0,81866.88,0,0.0,0.0,0,0,0,1,11.312862007324092
298,67465.37,0.0,0.0,2548623.83,2616089.2,0,-67465.37,0.0,1,0,0,1,11.119384530484469
325,107834.85,107834.85,0.0,0.0,107834.85,0,0.0,0.0,0,0,0,1,11.58836544246796
303,167384.36,51254.0,0.0,143236.23,310620.59,0,-116130.35999999999,-5.820766091346741e-11,1,0,0,1,12.02805397801595
4,2930418.44,2930418.44,0.0,0.0,0.0,0,0.0,2930418.44,0,1,1,0,14.890656124331372
590,34382.04,0.0,0.0,5251733.34,5286115.38,0,-34382.04,0.0,1,0,0,1,10.445318698529748
639,349627.64,349627.64,0.0,0.0,0.0,0,0.0,349627.64,0,1,1,0,12.764626841604874
212,133848.46,20306.0,0.0,87815.15,221663.61,0,-113542.45999999999,0.0,1,0,0,1,11.804471014573531
43,155686.68,2095.0,0.0,172040.06,327726.74,0,-153591.68,0.0,1,0,1,0,11.955607228166052
182,243703.55,21639.0,0.0,0.0,243703.55,0,-222064.55,0.0,1,0,0,1,12.403711909935518
